FECHA, HORA, LATITUD, LONGITUD, SATELITES, PRECISION, AGE, TEMPERATURA_BMP, PRESION_BMP, ALTITUD_BMP, CO2, TVOC, HUMEDAD_DHT, TEMPERATURA_DHT, LUZ_TSL, LUZ_UV
25/1/2021, 10:42:19, 43.221275, -2.019251, 7, 186, 551, 22.17, 1003.53, 13.21, 400, 0, 46.30, 22.70, 1185, 5, 
25/1/2021, 10:42:38, 43.221382, -2.019351, 8, 151, 562, 22.25, 1003.57, 12.81, 400, 0, 47.60, 22.70, 1194, 0, 
25/1/2021, 10:42:57, 43.221504, -2.019509, 7, 187, 577, 22.26, 1003.59, 12.66, 428, 4, 47.60, 22.70, 1194, 4, 
25/1/2021, 10:43:16, 43.221527, -2.019528, 8, 125, 584, 22.19, 1003.59, 12.67, 450, 7, 47.40, 22.70, 1177, 5, 
25/1/2021, 10:43:35, 43.221470, -2.019214, 7, 129, 604, 22.16, 1003.61, 12.53, 435, 5, 47.80, 22.70, 1170, 2, 
25/1/2021, 10:43:54, 43.221485, -2.019083, 6, 142, 620, 22.25, 1003.63, 12.38, 441, 6, 47.70, 22.70, 1162, 0, 
25/1/2021, 10:44:13, 43.221481, -2.018999, 8, 163, 629, 22.29, 1003.65, 12.17, 435, 5, 47.50, 22.70, 1139, 2, 
25/1/2021, 10:44:32, 43.221481, -2.018857, 6, 143, 646, 22.34, 1003.61, 12.54, 435, 5, 47.70, 22.70, 1115, 0, 
25/1/2021, 10:44:51, 43.221455, -2.018743, 8, 127, 655, 22.36, 1003.61, 12.49, 424, 3, 47.90, 22.70, 1074, 0, 
25/1/2021, 10:45:10, 43.221455, -2.018674, 8, 127, 668, 22.30, 1003.66, 12.10, 407, 1, 48.00, 22.70, 945, 0, 
25/1/2021, 10:45:29, 43.221279, -2.018548, 7, 170, 684, 22.28, 1003.62, 12.44, 428, 4, 48.10, 22.70, 921, 4, 
25/1/2021, 10:45:49, 43.221256, -2.018586, 8, 145, 696, 22.36, 1003.62, 12.44, 405, 0, 47.90, 22.70, 913, 0, 
25/1/2021, 10:46:8, 43.221260, -2.018674, 8, 163, 711, 22.39, 1003.58, 12.79, 400, 0, 47.80, 22.70, 922, 0, 
25/1/2021, 10:46:27, 43.221233, -2.018682, 8, 163, 724, 22.40, 1003.58, 12.75, 403, 0, 47.70, 22.70, 922, 0, 
25/1/2021, 10:46:46, 43.221214, -2.018644, 7, 181, 740, 22.44, 1003.61, 12.53, 403, 0, 47.70, 22.70, 922, 0, 
25/1/2021, 10:47:5, 43.221180, -2.018631, 8, 154, 750, 22.42, 1003.58, 12.74, 406, 0, 47.50, 22.70, 922, 0, 
25/1/2021, 10:47:24, 43.221256, -2.018680, 8, 147, 767, 22.47, 1003.56, 12.90, 406, 0, 47.40, 22.70, 939, 0, 
25/1/2021, 10:47:43, 43.221268, -2.018683, 8, 134, 778, 22.44, 1003.62, 12.43, 409, 1, 47.40, 22.70, 946, 0, 
25/1/2021, 10:48:2, 43.221352, -2.018702, 8, 130, 792, 22.44, 1003.62, 12.44, 409, 1, 47.30, 22.70, 979, 0, 
25/1/2021, 10:48:21, 43.221291, -2.018741, 7, 288, 809, 22.48, 1003.59, 12.68, 409, 1, 47.40, 22.80, 1003, 0, 
25/1/2021, 10:48:40, 43.221169, -2.018728, 6, 192, 826, 22.50, 1003.62, 12.47, 409, 1, 47.30, 22.70, 1027, 4, 
25/1/2021, 10:48:59, 43.221031, -2.018613, 7, 193, 837, 22.50, 1003.63, 12.37, 409, 1, 47.30, 22.80, 1051, 0, 
25/1/2021, 10:49:18, 43.221035, -2.018576, 8, 163, 845, 22.53, 1003.61, 12.48, 409, 1, 47.20, 22.70, 1065, 1, 
25/1/2021, 10:49:37, 43.221027, -2.018507, 7, 137, 860, 22.53, 1003.65, 12.14, 409, 1, 47.10, 22.70, 1106, 0, 
25/1/2021, 10:49:56, 43.221039, -2.018498, 7, 160, 878, 22.56, 1003.63, 12.37, 427, 4, 47.10, 22.80, 1130, 0, 
25/1/2021, 10:50:15, 43.221024, -2.018485, 7, 162, 889, 22.57, 1003.64, 12.31, 416, 2, 47.20, 22.80, 1170, 1, 
25/1/2021, 10:50:34, 43.221035, -2.018540, 5, 364, 910, 22.58, 1003.64, 12.27, 414, 2, 47.20, 22.80, 1177, 4, 
25/1/2021, 10:50:53, 43.221073, -2.018659, 6, 195, 921, 22.58, 1003.63, 12.33, 414, 2, 47.10, 22.90, 1168, 5, 
25/1/2021, 10:51:12, 43.221111, -2.018711, 7, 139, 931, 22.58, 1003.61, 12.52, 414, 2, 47.20, 22.80, 1185, 1, 
25/1/2021, 10:51:31, 43.221062, -2.018693, 7, 195, 53, 22.59, 1003.66, 12.12, 414, 2, 46.90, 22.80, 1185, 4, 
25/1/2021, 10:51:50, 43.220966, -2.018674, 6, 288, 63, 22.61, 1003.66, 12.11, 432, 4, 46.80, 22.90, 1185, 1, 
25/1/2021, 10:52:9, 43.221031, -2.018792, 7, 287, 78, 22.63, 1003.63, 12.37, 450, 7, 46.70, 22.80, 1168, 4, 
25/1/2021, 10:52:28, 43.221134, -2.018949, 7, 287, 89, 22.61, 1003.59, 12.66, 432, 4, 46.70, 22.90, 1177, 2, 
25/1/2021, 10:52:47, 43.221111, -2.018844, 7, 163, 104, 22.63, 1003.59, 12.68, 416, 2, 46.80, 22.90, 1144, 0, 
25/1/2021, 10:53:6, 43.221111, -2.018771, 7, 167, 119, 22.65, 1003.59, 12.68, 432, 4, 46.70, 22.90, 1128, 1, 
25/1/2021, 10:53:25, 43.221104, -2.018712, 6, 222, 140, 22.66, 1003.62, 12.40, 441, 6, 46.70, 22.90, 1137, 0, 
25/1/2021, 10:53:44, 43.221046, -2.018635, 5, 366, 152, 22.66, 1003.62, 12.46, 441, 6, 46.70, 22.90, 1121, 1, 
25/1/2021, 10:54:3, 43.221069, -2.018580, 8, 137, 50, 22.67, 1003.62, 12.47, 427, 4, 46.70, 22.90, 1121, 0, 
25/1/2021, 10:54:22, 43.221111, -2.018655, 6, 173, 68, 22.67, 1003.63, 12.50, 416, 2, 46.50, 22.90, 1121, 0, 
25/1/2021, 10:54:41, 43.221085, -2.018626, 8, 182, 82, 22.66, 1003.65, 12.15, 427, 4, 46.40, 22.90, 1137, 0, 
25/1/2021, 10:55:0, 43.221046, -2.018617, 7, 163, 73, 22.66, 1003.62, 12.41, 416, 2, 46.50, 22.90, 1170, 0, 
25/1/2021, 10:55:19, 43.220978, -2.018662, 7, 227, 110, 22.66, 1003.62, 12.46, 436, 5, 46.50, 23.00, 1177, 2, 
25/1/2021, 10:55:38, 43.221046, -2.018755, 6, 385, 129, 22.66, 1003.63, 12.34, 421, 3, 46.50, 22.90, 1201, 0, 
25/1/2021, 10:55:57, 43.221027, -2.018815, 9, 166, 135, 22.67, 1003.64, 12.29, 409, 1, 46.40, 23.00, 1241, 0, 
25/1/2021, 10:56:16, 43.221092, -2.018774, 8, 161, 149, 22.68, 1003.65, 12.21, 416, 2, 46.30, 23.00, 1256, 1, 
25/1/2021, 10:56:35, 43.221169, -2.018754, 9, 140, 162, 22.68, 1003.63, 12.38, 406, 0, 46.20, 23.00, 1313, 0, 
25/1/2021, 10:56:54, 43.221081, -2.018712, 7, 109, 180, 22.71, 1003.63, 12.37, 413, 1, 46.20, 23.00, 1344, 1, 
25/1/2021, 10:57:13, 43.220989, -2.018657, 8, 137, 193, 22.71, 1003.66, 12.09, 413, 1, 46.20, 23.00, 1375, 2, 
25/1/2021, 10:57:32, 43.220798, -2.018509, 9, 112, 203, 22.71, 1003.61, 12.52, 403, 0, 46.10, 23.00, 1423, 1, 
25/1/2021, 10:57:51, 43.220715, -2.018467, 8, 102, 217, 22.71, 1003.64, 12.26, 409, 1, 46.20, 23.10, 1454, 0, 
25/1/2021, 10:58:10, 43.220741, -2.018579, 7, 114, 236, 22.71, 1003.62, 12.46, 417, 2, 46.10, 23.10, 1502, 1, 
25/1/2021, 10:58:29, 43.220722, -2.018661, 7, 114, 250, 22.72, 1003.63, 12.33, 417, 2, 46.20, 23.10, 1550, 0, 
25/1/2021, 10:58:48, 43.220730, -2.018775, 7, 146, 263, 22.70, 1003.61, 12.55, 433, 5, 46.10, 23.10, 1597, 1, 
25/1/2021, 10:59:7, 43.220692, -2.018794, 9, 126, 273, 22.71, 1003.60, 12.62, 424, 3, 46.10, 23.10, 1645, 1, 
25/1/2021, 10:59:26, 43.220669, -2.018711, 8, 102, 287, 22.71, 1003.62, 12.42, 417, 2, 46.00, 23.10, 1676, 1, 
25/1/2021, 10:59:45, 43.220665, -2.018700, 9, 141, 301, 22.70, 1003.61, 12.51, 409, 1, 46.10, 23.10, 1717, 2, 
25/1/2021, 11:0:4, 43.220657, -2.018696, 8, 139, 315, 22.72, 1003.66, 12.25, 413, 1, 46.00, 23.10, 1757, 0, 
25/1/2021, 11:0:23, 43.220669, -2.018606, 9, 121, 328, 22.73, 1003.60, 12.56, 405, 0, 46.00, 23.10, 1764, 0, 
25/1/2021, 11:0:42, 43.220680, -2.018656, 8, 113, 342, 22.74, 1003.61, 12.48, 422, 3, 45.90, 23.20, 1755, 1, 
25/1/2021, 11:1:1, 43.220673, -2.018642, 9, 106, 350, 22.73, 1003.63, 12.36, 417, 2, 46.20, 23.20, 1755, 0, 
25/1/2021, 11:1:20, 43.220684, -2.018737, 8, 106, 370, 22.73, 1003.62, 12.43, 417, 2, 46.10, 23.20, 1739, 0, 
25/1/2021, 11:1:39, 43.220661, -2.018797, 8, 113, 385, 22.73, 1003.65, 12.17, 422, 3, 45.80, 23.20, 1731, 2, 
25/1/2021, 11:1:58, 43.220657, -2.018850, 8, 103, 396, 22.75, 1003.68, 11.90, 403, 0, 45.90, 23.20, 1724, 1, 
25/1/2021, 11:2:17, 43.220627, -2.018760, 8, 114, 411, 22.75, 1003.65, 12.21, 403, 0, 45.70, 23.20, 1700, 1, 
25/1/2021, 11:2:36, 43.220615, -2.018660, 8, 140, 427, 22.77, 1003.66, 12.10, 403, 0, 45.60, 23.20, 1676, 0, 
25/1/2021, 11:2:55, 43.220631, -2.018721, 8, 110, 439, 22.78, 1003.68, 11.92, 400, 0, 45.60, 23.20, 1643, 0, 
25/1/2021, 11:3:14, 43.220654, -2.018760, 9, 126, 450, 22.77, 1003.73, 11.54, 426, 3, 45.50, 23.30, 1652, 0, 
25/1/2021, 11:3:33, 43.220650, -2.018705, 9, 114, 465, 22.77, 1003.71, 11.69, 417, 2, 45.50, 23.30, 1636, 0, 
25/1/2021, 11:3:52, 43.220673, -2.018661, 9, 117, 477, 22.77, 1003.70, 11.73, 409, 1, 45.50, 23.30, 1652, 6, 
25/1/2021, 11:4:11, 43.220654, -2.018603, 9, 110, 495, 22.77, 1003.72, 11.57, 413, 1, 45.70, 23.40, 1669, 1, 
25/1/2021, 11:4:30, 43.220703, -2.018716, 9, 136, 508, 22.74, 1003.72, 11.61, 421, 3, 45.50, 23.30, 1660, 1, 
25/1/2021, 11:4:49, 43.220734, -2.018746, 8, 117, 521, 22.75, 1003.69, 11.82, 413, 1, 45.40, 23.30, 1693, 5, 
25/1/2021, 11:5:8, 43.220734, -2.018709, 8, 115, 540, 22.77, 1003.73, 11.51, 426, 3, 45.30, 23.30, 1717, 4, 
25/1/2021, 11:5:27, 43.220695, -2.018759, 7, 140, 556, 22.77, 1003.70, 11.73, 421, 3, 45.30, 23.40, 1757, 0, 
25/1/2021, 11:5:46, 43.220676, -2.018804, 8, 148, 555, 22.77, 1003.67, 12.00, 426, 3, 45.40, 23.40, 1772, 0, 
25/1/2021, 11:6:5, 43.220657, -2.018839, 9, 140, 579, 22.77, 1003.69, 11.83, 400, 0, 45.30, 23.40, 1812, 0, 
25/1/2021, 11:6:24, 43.220634, -2.018853, 9, 140, 593, 22.76, 1003.67, 11.98, 408, 1, 45.40, 23.40, 1843, 5, 
25/1/2021, 11:6:43, 43.220631, -2.018782, 9, 111, 605, 22.76, 1003.68, 11.90, 400, 0, 45.30, 23.40, 1900, 1, 
25/1/2021, 11:7:2, 43.220634, -2.018804, 8, 140, 621, 22.78, 1003.68, 11.96, 400, 0, 45.40, 23.40, 1940, 1, 
25/1/2021, 11:7:21, 43.220650, -2.018743, 8, 140, 635, 22.78, 1003.65, 12.17, 415, 2, 45.10, 23.40, 1955, 1, 
25/1/2021, 11:7:40, 43.220684, -2.018643, 9, 112, 647, 22.80, 1003.69, 11.81, 407, 1, 45.20, 23.40, 1979, 5, 
25/1/2021, 11:7:59, 43.220711, -2.018542, 9, 100, 661, 22.79, 1003.64, 12.05, 407, 1, 45.30, 23.50, 2003, 0, 
25/1/2021, 11:8:19, 43.220753, -2.018471, 9, 100, 673, 22.81, 1003.69, 11.88, 415, 2, 45.20, 23.50, 2026, 5, 
25/1/2021, 11:8:38, 43.220741, -2.018438, 8, 117, 692, 22.81, 1003.69, 11.81, 424, 3, 45.00, 23.50, 2059, 0, 
25/1/2021, 11:8:57, 43.220695, -2.018386, 9, 113, 704, 22.79, 1003.69, 11.87, 448, 7, 45.10, 23.50, 2067, 0, 
25/1/2021, 11:9:16, 43.220673, -2.018368, 9, 113, 718, 22.74, 1003.66, 12.12, 444, 6, 45.20, 23.50, 2058, 5, 
25/1/2021, 11:9:35, 43.220665, -2.018360, 9, 110, 725, 22.72, 1003.68, 11.95, 421, 3, 45.10, 23.50, 2074, 0, 
25/1/2021, 11:9:54, 43.220673, -2.018363, 9, 118, 748, 22.76, 1003.71, 11.69, 415, 2, 45.10, 23.50, 2074, 1, 
25/1/2021, 11:10:13, 43.220646, -2.018365, 8, 145, 762, 22.78, 1003.72, 11.60, 424, 3, 45.20, 23.60, 2058, 1, 
25/1/2021, 11:10:32, 43.220661, -2.018341, 8, 107, 773, 22.76, 1003.70, 11.77, 421, 3, 45.40, 23.60, 2041, 1, 
25/1/2021, 11:10:51, 43.220680, -2.018386, 9, 108, 784, 22.76, 1003.70, 11.74, 415, 2, 45.50, 23.60, 2050, 4, 
25/1/2021, 11:11:10, 43.220703, -2.018403, 8, 114, 805, 22.77, 1003.70, 11.72, 421, 3, 45.40, 23.60, 2034, 6, 
25/1/2021, 11:11:29, 43.220718, -2.018474, 9, 114, 815, 22.77, 1003.71, 11.67, 411, 1, 45.10, 23.60, 2026, 1, 
25/1/2021, 11:11:48, 43.220715, -2.018470, 8, 120, 831, 22.81, 1003.72, 11.61, 424, 3, 45.10, 23.60, 2010, 0, 
25/1/2021, 11:12:7, 43.220715, -2.018464, 9, 115, 843, 22.82, 1003.74, 11.45, 411, 1, 45.00, 23.60, 2003, 1, 
25/1/2021, 11:12:26, 43.220741, -2.018482, 8, 111, 858, 22.83, 1003.72, 11.61, 411, 1, 44.70, 23.60, 1953, 1, 
25/1/2021, 11:12:45, 43.220737, -2.018498, 8, 115, 873, 22.84, 1003.73, 11.49, 407, 1, 45.00, 23.60, 1946, 7, 
25/1/2021, 11:13:4, 43.220722, -2.018493, 8, 106, 884, 22.85, 1003.75, 11.36, 411, 1, 44.80, 23.70, 1955, 2, 
25/1/2021, 11:13:23, 43.220749, -2.018513, 9, 102, 894, 22.88, 1003.69, 11.81, 421, 3, 44.90, 23.60, 1939, 2, 
25/1/2021, 11:13:42, 43.220734, -2.018524, 8, 111, 915, 22.89, 1003.77, 11.21, 405, 0, 44.80, 23.70, 1931, 0, 
25/1/2021, 11:14:1, 43.220760, -2.018538, 9, 103, 922, 22.91, 1003.74, 11.43, 400, 0, 44.90, 23.70, 1931, 4, 
25/1/2021, 11:14:20, 43.220764, -2.018550, 8, 107, 46, 22.91, 1003.74, 11.45, 434, 5, 44.90, 23.70, 1898, 2, 
25/1/2021, 11:14:39, 43.220749, -2.018596, 9, 117, 62, 22.90, 1003.71, 11.68, 415, 2, 44.70, 23.70, 1907, 1, 
25/1/2021, 11:14:58, 43.220764, -2.018620, 9, 117, 78, 22.87, 1003.76, 11.26, 424, 3, 44.60, 23.70, 1891, 1, 
25/1/2021, 11:15:17, 43.220753, -2.018555, 9, 117, 88, 22.88, 1003.78, 11.07, 428, 4, 44.70, 23.70, 1858, 1, 
25/1/2021, 11:15:36, 43.220745, -2.018467, 9, 117, 103, 22.86, 1003.81, 10.86, 411, 1, 44.50, 23.70, 1867, 6, 
25/1/2021, 11:15:55, 43.220753, -2.018510, 9, 120, 119, 22.88, 1003.83, 10.69, 407, 1, 44.60, 23.70, 1851, 1, 
25/1/2021, 11:16:14, 43.220768, -2.018475, 8, 118, 131, 22.89, 1003.80, 10.93, 421, 3, 44.50, 23.70, 1843, 1, 
25/1/2021, 11:16:33, 43.220783, -2.018464, 8, 124, 144, 22.89, 1003.82, 10.71, 428, 4, 44.70, 23.70, 1843, 4, 
25/1/2021, 11:16:52, 43.220768, -2.018451, 9, 119, 54, 22.89, 1003.80, 10.88, 411, 1, 44.60, 23.70, 1836, 1, 
